date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:40	146204/146204	---M--	200	added ('OK')	application/pdf	date:Sun,%2012%20Mar%202023%2017:28:02%20GMT	https://loic-ledoher.fr/documents/Attestation-SecNumAcad%c3%a9mie.pdf	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/documents/Attestation-SecNumAcad%c3%a9mie.pdf	(from https://loic-ledoher.fr/)
23:07:41	29548/29548	---M--	200	added ('OK')	image/webp	date:Mon,%2027%20Jan%202025%2021:39:50%20GMT	https://loic-ledoher.fr/images/Acceuil/Logo_DRSD.webp	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/images/Acceuil/Logo_DRSD.webp	(from https://loic-ledoher.fr/)
23:07:41	127890/127890	---M--	200	added ('OK')	application/pdf	date:Sun,%2012%20Mar%202023%2017:28:02%20GMT	https://loic-ledoher.fr/documents/DRSD_Secret_Defense-LE_DOHER_Lo%c3%afc.pdf	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/documents/DRSD_Secret_Defense-LE_DOHER_Lo%c3%afc.pdf	(from https://loic-ledoher.fr/)
23:07:41	66942/66942	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Jan%202025%2021:39:50%20GMT	https://loic-ledoher.fr/images/Acceuil/CNIL_logo.png	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/images/Acceuil/CNIL_logo.png	(from https://loic-ledoher.fr/)
23:07:41	116573/116573	---M--	200	added ('OK')	application/pdf	date:Sun,%2012%20Mar%202023%2017:28:02%20GMT	https://loic-ledoher.fr/documents/RGPD.pdf	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/documents/RGPD.pdf	(from https://loic-ledoher.fr/)
23:07:42	6017/6017	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Jan%202025%2021:39:50%20GMT	https://loic-ledoher.fr/images/Acceuil/pix.png	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/images/Acceuil/pix.png	(from https://loic-ledoher.fr/)
23:07:42	855736/855736	---M--	200	added ('OK')	application/pdf	date:Sun,%2012%20Mar%202023%2017:28:02%20GMT	https://loic-ledoher.fr/documents/R%c3%a9sultat_Parcours_Pix.pdf	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/documents/R%c3%a9sultat_Parcours_Pix.pdf	(from https://loic-ledoher.fr/)
23:07:42	241/241	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2021%20Aug%202022%2013:40:11%20GMT	https://loic-ledoher.fr/js/Scroll_Up.js	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/js/Scroll_Up.js	(from https://loic-ledoher.fr/)
23:07:42	1542/1542	---M--	200	added ('OK')	image/webp	date:Mon,%2027%20Jan%202025%2021:39:50%20GMT	https://loic-ledoher.fr/images/logo-web-component-white.webp	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/images/logo-web-component-white.webp	(from https://loic-ledoher.fr/)
23:07:42	6535/6535	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Mar%202025%2022:07:41%20GMT	https://loic-ledoher.fr/mentions_legales	C:/Mes%20Sites%20Web/porfolio%20aymeric/loic-ledoher.fr/mentions_legales.html	(from https://loic-ledoher.fr/)
